时间,收盘价,代码,成交量,成交笔数,收益率,净价,全价
2018-03-16,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-19,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-20,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-21,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-22,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-23,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-26,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-27,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-28,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-29,100.5368,130309.IB,0.0,,,100.5368,0
2018-03-30,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-02,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-03,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-04,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-09,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-10,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-11,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-12,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-13,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-16,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-17,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-18,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-19,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-20,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-23,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-24,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-25,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-26,100.5368,130309.IB,0.0,,,100.5368,0
2018-04-27,100.5368,130309.IB,0.0,,,100.5368,0
2018-05-02,100.5368,130309.IB,0.0,,3.9099178314208975,100.5368,0
2018-05-03,100.5368,130309.IB,0.0,,3.909902334213257,100.5368,0
2018-05-04,100.5368,130309.IB,0.0,,3.909887313842773,100.5368,0
2018-05-07,100.5368,130309.IB,0.0,,3.909843683242798,100.5368,0
2018-05-08,100.5368,130309.IB,0.0,,3.909829616546631,100.5368,0
2018-05-09,100.5368,130309.IB,0.0,,3.909815788269043,100.5368,0
2018-05-10,100.5368,130309.IB,0.0,,3.909802198410034,100.5368,0
